date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:08:08	40236/40236	---M--	200	added ('OK')	image/jpeg	etag:%229d2c-5a2402a324bf7%22	https://covid.gov.pk/theme_img/core-img/1.jpg	C:/My%20Web%20Sites/test/covid.gov.pk/theme_img/core-img/1.jpg	(from https://covid.gov.pk/covid19)
05:08:08	86875/86875	---M--	200	added ('OK')	image/jpeg	etag:%221535b-5a2402a324bf7%22	https://covid.gov.pk/theme_img/core-img/2.jpg	C:/My%20Web%20Sites/test/covid.gov.pk/theme_img/core-img/2.jpg	(from https://covid.gov.pk/covid19)
05:08:10	351248/351248	---M--	200	added ('OK')	image/png	etag:%2255c10-5a2402a326b37%22	https://covid.gov.pk/theme_img/core-img/about-new-01.png	C:/My%20Web%20Sites/test/covid.gov.pk/theme_img/core-img/about-new-01.png	(from https://covid.gov.pk/covid19)
05:08:11	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Nov%202020%2013:08:11%20GMT	https://covid.gov.pk/img/bg-img/bg-2.jpg	C:/My%20Web%20Sites/test/covid.gov.pk/img/bg-img/bg-2.8f.delayed	(from https://covid.gov.pk/press-release)
05:08:11	19155/19155	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:08:11%20GMT	https://covid.gov.pk/press-release-details/1	C:/My%20Web%20Sites/test/covid.gov.pk/press-release-details/1.html	(from https://covid.gov.pk/press-release)
05:08:12	17588/17588	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2013:08:12%20GMT	https://covid.gov.pk/press-release-details/2	C:/My%20Web%20Sites/test/covid.gov.pk/press-release-details/2.html	(from https://covid.gov.pk/press-release)
05:08:13	94757/94757	---M--	200	added ('OK')	image/jpeg	etag:%2217225-5b51bcffcccad%22	https://covid.gov.pk/new_guidelines/image/28November2020_20201127_Additional_Guidelines_for_Marriage_Events_Ceremonies_during_COVID_19_4505.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/28November2020_20201127_Additional_Guidelines_for_Marriage_Events_Ceremonies_during_COVID_19_4505.jpg	(from https://covid.gov.pk/guideline)
05:08:14	97961/97961	---M--	200	added ('OK')	image/jpeg	etag:%2217ea9-5b46f0357b91e%22	https://covid.gov.pk/new_guidelines/image/19November2020_20201118_Guidelines_for_International_Passengers_Arriving_at__Airport_in_Pakistan__4804.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/19November2020_20201118_Guidelines_for_International_Passengers_Arriving_at__Airport_in_Pakistan__4804.jpg	(from https://covid.gov.pk/guideline)
05:08:15	1748861/1748861	---M--	200	added ('OK')	image/jpeg	etag:%221aaf7d-5a2402a32d899%22	https://covid.gov.pk/theme_img/core-img/prev-img.jpg	C:/My%20Web%20Sites/test/covid.gov.pk/theme_img/core-img/prev-img.jpg	(from https://covid.gov.pk/covid19)
05:08:17	123559/123559	---M--	200	added ('OK')	image/jpeg	etag:%221e2a7-5b352977e7adb%22	https://covid.gov.pk/new_guidelines/image/05November2020_20201104_TESTING_STRATEGY_INCORPORATING_COVID-19_ANTIGEN_DETECTION_RAPID_DIAGNOSTIC_TESTS_5301.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/05November2020_20201104_TESTING_STRATEGY_INCORPORATING_COVID-19_ANTIGEN_DETECTION_RAPID_DIAGNOSTIC_TESTS_5301.jpg	(from https://covid.gov.pk/guideline)
